Year,State,Total
2001,A & N Islands,645
2001,Andhra Pradesh,52610
2001,Arunachal Pradesh,555
2001,Assam,13230
2001,Bihar,3015
2001,Chandigarh,350
2001,Chhattisgarh,20051
2001,D & N Haveli,250
2001,Daman & Diu,69
2001,Delhi (Ut),6195
2001,Goa,1280
2001,Gujarat,23955
2001,Haryana,10031
2001,Himachal Pradesh,1535
2001,Jammu & Kashmir,765
2001,Jharkhand,1250
2001,Karnataka,59405
2001,Kerala,47860
2001,Lakshadweep,0
2001,Madhya Pradesh,34300
2001,Maharashtra,73090
2001,Manipur,205
2001,Meghalaya,435
2001,Mizoram,270
2001,Nagaland,200
2001,Odisha,20254
2001,Puducherry,2645
2001,Punjab,3240
2001,Rajasthan,15975
2001,Sikkim,470
2001,Tamil Nadu,56450
2001,Total (All India),217012
2001,Total (States),212950
2001,Total (Uts),4062
2001,Tripura,4270
2001,Uttar Pradesh,17580
2001,Uttarakhand,1555
2001,West Bengal,68450
2002,A & N Islands,720
2002,Andhra Pradesh,58465
2002,Arunachal Pradesh,570
2002,Assam,12550
2002,Bihar,3600
2002,Chandigarh,435
2002,Chhattisgarh,19750
2002,D & N Haveli,250
2002,Daman & Diu,85
2002,Delhi (Ut),5265
2002,Goa,1545
2002,Gujarat,23216
2002,Haryana,11000
2002,Himachal Pradesh,1670
2002,Jammu & Kashmir,919
2002,Jharkhand,1360
2002,Karnataka,61350
2002,Kerala,49050
2002,Lakshadweep,0
2002,Madhya Pradesh,34495
2002,Maharashtra,72645
2002,Manipur,195
2002,Meghalaya,332
2002,Mizoram,330
2002,Nagaland,135
2002,Odisha,21940
2002,Puducherry,2835
2002,Punjab,2535
2002,Rajasthan,16240
2002,Sikkim,383
2002,Tamil Nadu,56134
2002,Total (All India),220834
2002,Total (States),216998
2002,Total (Uts),3836
2002,Tripura,3891
2002,Uttar Pradesh,21250
2002,Uttarakhand,1805
2002,West Bengal,65035
2003,A & N Islands,565
2003,Andhra Pradesh,57045
2003,Arunachal Pradesh,405
2003,Assam,12963
2003,Bihar,2984
2003,Chandigarh,515
2003,Chhattisgarh,19595
2003,D & N Haveli,260
2003,Daman & Diu,118
2003,Delhi (Ut),5765
2003,Goa,1500
2003,Gujarat,22830
2003,Haryana,11135
2003,Himachal Pradesh,1926
2003,Jammu & Kashmir,690
2003,Jharkhand,1360
2003,Karnataka,61805
2003,Kerala,47190
2003,Lakshadweep,10
2003,Madhya Pradesh,33810
2003,Maharashtra,73800
2003,Manipur,130
2003,Meghalaya,205
2003,Mizoram,260
2003,Nagaland,109
2003,Odisha,22100
2003,Puducherry,2910
2003,Punjab,3155
2003,Rajasthan,18305
2003,Sikkim,525
2003,Tamil Nadu,59360
2003,Total (All India),221702
2003,Total (States),217644
2003,Total (Uts),4058
2003,Tripura,4220
2003,Uttar Pradesh,18315
2003,Uttarakhand,1953
2003,West Bengal,66400
2004,A & N Islands,610
2004,Andhra Pradesh,67630
2004,Arunachal Pradesh,395
2004,Assam,14178
2004,Bihar,1755
2004,Chandigarh,375
2004,Chhattisgarh,22475
2004,D & N Haveli,195
2004,Daman & Diu,65
2004,Delhi (Ut),6277
2004,Goa,1570
2004,Gujarat,23868
2004,Haryana,10410
2004,Himachal Pradesh,1840
2004,Jammu & Kashmir,560
2004,Jharkhand,2085
2004,Karnataka,59685
2004,Kerala,45265
2004,Lakshadweep,0
2004,Madhya Pradesh,33975
2004,Maharashtra,73645
2004,Manipur,204
2004,Meghalaya,275
2004,Mizoram,300
2004,Nagaland,155
2004,Odisha,21075
2004,Puducherry,2694
2004,Punjab,3225
2004,Rajasthan,18625
2004,Sikkim,488
2004,Tamil Nadu,64195
2004,Total (All India),227394
2004,Total (States),223306
2004,Total (Uts),4088
2004,Tripura,3850
2004,Uttar Pradesh,18185
2004,Uttarakhand,1185
2004,West Bengal,67035
2005,A & N Islands,695
2005,Andhra Pradesh,67210
2005,Arunachal Pradesh,350
2005,Assam,14209
2005,Bihar,2715
2005,Chandigarh,445
2005,Chhattisgarh,24405
2005,D & N Haveli,345
2005,Daman & Diu,159
2005,Delhi (Ut),6224
2005,Goa,1410
2005,Gujarat,23825
2005,Haryana,10230
2005,Himachal Pradesh,1795
2005,Jammu & Kashmir,1470
2005,Jharkhand,4040
2005,Karnataka,57785
2005,Kerala,46220
2005,Lakshadweep,0
2005,Madhya Pradesh,27240
2005,Maharashtra,72130
2005,Manipur,134
2005,Meghalaya,355
2005,Mizoram,275
2005,Nagaland,135
2005,Odisha,21040
2005,Puducherry,2690
2005,Punjab,2940
2005,Rajasthan,20889
2005,Sikkim,545
2005,Tamil Nadu,60380
2005,Total (All India),227828
2005,Total (States),223604
2005,Total (Uts),4224
2005,Tripura,3575
2005,Uttar Pradesh,17245
2005,Uttarakhand,1365
2005,West Bengal,75075
2006,A & N Islands,665
2006,Andhra Pradesh,66380
2006,Arunachal Pradesh,645
2006,Assam,15155
2006,Bihar,3090
2006,Chandigarh,400
2006,Chhattisgarh,23130
2006,D & N Haveli,210
2006,Daman & Diu,110
2006,Delhi (Ut),7458
2006,Goa,1375
2006,Gujarat,25172
2006,Haryana,11580
2006,Himachal Pradesh,2285
2006,Jammu & Kashmir,1301
2006,Jharkhand,4280
2006,Karnataka,61060
2006,Kerala,45130
2006,Lakshadweep,10
2006,Madhya Pradesh,32175
2006,Maharashtra,77470
2006,Manipur,180
2006,Meghalaya,459
2006,Mizoram,348
2006,Nagaland,140
2006,Odisha,20325
2006,Puducherry,2630
2006,Punjab,3860
2006,Rajasthan,21315
2006,Sikkim,725
2006,Tamil Nadu,61905
2006,Total (All India),236224
2006,Total (States),231630
2006,Total (Uts),4594
2006,Tripura,3825
2006,Uttar Pradesh,15495
2006,Uttarakhand,1630
2006,West Bengal,78625
2007,A & N Islands,775
2007,Andhra Pradesh,74410
2007,Arunachal Pradesh,644
2007,Assam,15301
2007,Bihar,4825
2007,Chandigarh,408
2007,Chhattisgarh,24195
2007,D & N Haveli,380
2007,Daman & Diu,75
2007,Delhi (Ut),7405
2007,Goa,1350
2007,Gujarat,27900
2007,Haryana,12165
2007,Himachal Pradesh,2010
2007,Jammu & Kashmir,1170
2007,Jharkhand,6427
2007,Karnataka,61520
2007,Kerala,44810
2007,Lakshadweep,15
2007,Madhya Pradesh,31645
2007,Maharashtra,75920
2007,Manipur,195
2007,Meghalaya,435
2007,Mizoram,140
2007,Nagaland,116
2007,Odisha,21540
2007,Puducherry,2585
2007,Punjab,4235
2007,Rajasthan,22185
2007,Sikkim,610
2007,Tamil Nadu,69055
2007,Total (All India),245274
2007,Total (States),240614
2007,Total (Uts),4660
2007,Tripura,3525
2007,Uttar Pradesh,19610
2007,Uttarakhand,1238
2007,West Bengal,74300
2008,A & N Islands,714
2008,Andhra Pradesh,71729
2008,Arunachal Pradesh,549
2008,Assam,14945
2008,Bihar,5075
2008,Chandigarh,415
2008,Chhattisgarh,24725
2008,D & N Haveli,300
2008,Daman & Diu,95
2008,Delhi (Ut),6511
2008,Goa,1431
2008,Gujarat,30818
2008,Haryana,13280
2008,Himachal Pradesh,3148
2008,Jammu & Kashmir,1547
2008,Jharkhand,4555
2008,Karnataka,61110
2008,Kerala,42845
2008,Lakshadweep,0
2008,Madhya Pradesh,38145
2008,Maharashtra,71870
2008,Manipur,170
2008,Meghalaya,424
2008,Mizoram,205
2008,Nagaland,210
2008,Odisha,24520
2008,Puducherry,2535
2008,Punjab,4345
2008,Rajasthan,25830
2008,Sikkim,1435
2008,Tamil Nadu,72125
2008,Total (All India),250034
2008,Total (States),245804
2008,Total (Uts),4230
2008,Tripura,3760
2008,Uttar Pradesh,20440
2008,Uttarakhand,948
2008,West Bengal,74260
2009,A & N Islands,655
2009,Andhra Pradesh,72500
2009,Arunachal Pradesh,549
2009,Assam,14830
2009,Bihar,5255
2009,Chandigarh,374
2009,Chhattisgarh,29415
2009,D & N Haveli,280
2009,Daman & Diu,115
2009,Delhi (Ut),7385
2009,Goa,1382
2009,Gujarat,30779
2009,Haryana,12515
2009,Himachal Pradesh,2800
2009,Jammu & Kashmir,1602
2009,Jharkhand,5550
2009,Karnataka,60975
2009,Kerala,43775
2009,Lakshadweep,5
2009,Madhya Pradesh,45565
2009,Maharashtra,71500
2009,Manipur,134
2009,Meghalaya,557
2009,Mizoram,339
2009,Nagaland,153
2009,Odisha,21825
2009,Puducherry,2590
2009,Punjab,4235
2009,Rajasthan,25325
2009,Sikkim,1204
2009,Tamil Nadu,71832
2009,Total (All India),254302
2009,Total (States),249740
2009,Total (Uts),4562
2009,Tripura,3689
2009,Uttar Pradesh,20790
2009,Uttarakhand,1710
2009,West Bengal,73240
2010,A & N Islands,780
2010,Andhra Pradesh,79505
2010,Arunachal Pradesh,655
2010,Assam,14965
2010,Bihar,6130
2010,Chandigarh,355
2010,Chhattisgarh,32563
2010,D & N Haveli,315
2010,Daman & Diu,155
2010,Delhi (Ut),7713
2010,Goa,1610
2010,Gujarat,31035
2010,Haryana,14470
2010,Himachal Pradesh,2703
2010,Jammu & Kashmir,1295
2010,Jharkhand,6158
2010,Karnataka,63255
2010,Kerala,42930
2010,Lakshadweep,5
2010,Madhya Pradesh,45015
2010,Maharashtra,79580
2010,Manipur,185
2010,Meghalaya,537
2010,Mizoram,380
2010,Nagaland,60
2010,Odisha,21275
2010,Puducherry,2540
2010,Punjab,4600
2010,Rajasthan,24600
2010,Sikkim,1400
2010,Tamil Nadu,82805
2010,Total (All India),269198
2010,Total (States),264452
2010,Total (Uts),4746
2010,Tripura,3625
2010,Uttar Pradesh,18140
2010,Uttarakhand,1402
2010,West Bengal,80185
